Found existing dataset: /home/users/rszymanski/Traffic_Forecast/data/dataset.npz
X_train shape: (1261, 36, 48)
Y_train shape: (1261, 36)
FINAL TRAINING MODE: full dataset, no early stopping.
Total parameters: 34401
epoch 001 FINAL | train=0.1682
epoch 158 FINAL | train=0.0201
epoch 159 FINAL | train=0.0202
epoch 160 FINAL | train=0.0202
epoch 161 FINAL | train=0.0202
epoch 162 FINAL | train=0.0201
epoch 163 FINAL | train=0.0205
epoch 164 FINAL | train=0.0199
epoch 165 FINAL | train=0.0199
epoch 166 FINAL | train=0.0195
epoch 167 FINAL | train=0.0196
Saved model to /home/users/rszymanski/Traffic_Forecast/runs/final_grugcn64.pth  (best RMSE=inf)
Finished run: final_grugcn64
Saved model: /home/users/rszymanski/Traffic_Forecast/runs/final_grugcn64.pth
